ID;Circuito
1;
5;CI LTRONIC CONTROL
6;CI MIG Serie 6 DIGIT B
7;CI MIG Serie 6 Interface
8;CI LTRONIC FRONT
9;CI MIG Serie 6 DIGIT
10;CI Power MIG300SI
11;CI SMD THI DIGIT
12;CI MIG300SI CONTROL
13;CI INV ACDC FRONT
14;CI INV TP CONTROL
15;CI Frontal MIG300SI
16;CI Inv Mig Control
17;CI RCD DIGIT
18;CI INV VRD
19;Inverprotek
20;CI INV TP AUX POWER
21;CI Amp/Volt SMD
22;CI INV DC FRONT
23;CI INV TP FRONT
24;SMD RCD DIGIT
25;CI INV TRI DC FRONT
26;CI INV TRI TP FRONT
27;CI.AF FULX 500
28;CI Controlo AF TIG
29;MIG S5
30;CI TP FRONT
31;CI ACDC RELAY
32;DC/DC 24V
33;CI ACDC CONTROL
34;REGULADOR AF TIG
35;Motor MIG300SI
36;CI INV DC 500 FROMT
37;mig control 500
38;CI CAP MONOMIG
39;CI.AF FULX 500 isolador
40;CI ACDC CONTROL V2
41;CI ACDC IO
