ID;Marca
1;
2;Electrex
3;Castolin
4;Maquet Soudage
5;Heavyware
6;KEMPPI
9;Firep Fimig
10;Parkside
11;Esab
12;Air Liquide
13;CEMONT
14;CIARC
15;WPI
16;Helvi
17;Wurth
18;Pecweld
19;Fronius
20;Tigmig
21;WTL
22;Giant
23;Lincoln
24;EWM
25;Praxair
26;Apex
27;Solter
28;OX
29;CITIG
30;SAFPRO
31;WECO
32;Stayer
33;Jasic
34;Eurotrodo
35;Thermal
36;Red Star
37;Platinum
38;Elektrosta
39;TELWIN
40;HYPERTHERM
41;Ellectro CF
42;Weldline
43;GCE
44;Nutool
45;ROLUK
46;BAACO
47;Werkraft
48;Esab LHN200
49;Aslo
50;SELCO GENISIS
51;Migatronic
52;Apollo
53;ElectrexHZ
54;SAF FRO
55;Solrex
56;EPSystems
57;Motofil
58;Riland
59;Airtec
60;Stamos
61;ECE
62;Energman
63;Galagar
64;USR
65;Laircop
66;Kühtreiber
67;Hobart
68;CEM
69;Sincosold
70;Elarco
71;RE-ON
72;SAF
73;BERIGA
74;Pegas
75;CEA
76;L-TEC
77;WSD
78;ECOMIG
79;Argon
80;CEBORA
81;ALEX
82;Decamig
83;Profi
84;Elettro
85;Cifes
86;UNIMIG
87;Elektrocoup
88;CIATA
89;Terotecnica
90;Sem Marca
91;LSKRAVAR
92;Weldy
93;SAFEX
94;JUPITER
95;Elektra Beckum
96;Opsial
97;Welbach
98;Danesae
99;Source Weld
100;Patent
101;ELWI
102;Bester
103;maxi
104;FDB
105;SPARK
106;Sodernic
107;ERFI
108;Antare
109;ASW
110;HZ
111;PANDA
112;Oerlinkon
113;ARO
114;Solda
115;Einhell
116;Wellweld
117;Bricofel
118;T&R
119;SIT
120;Weldsat
121;Weld´s
122;Inox
123;Cimontubo
124;Fabricom
125;Motrinde
126;Beergman
127;JBDI
128;Firep
129;Redline
130;RUBETE
131;Eurotrod
132;SATURNO
133;MIZAR
134;Nippon
135;Killmak
136;I.W.M.
137;FILCORD
138;Pro
139;EN Soudage
140;Eburon
141;
142;SERECOM
143;Acess
144;PLASMACUT
145;Desconhecida
146;elettro
147;Magnun
148;Soudarc
149;C&A
150;CERO
151;Nicrotronic
152;Awelco
153;ROWAC
154;Flash
155;RST
156;DAO YI
157;Euromig
158;MT
159;MERKLE
160;Tecnomig
161;Arc-tech
162;Arco
163;Genera
164;elektra Beckum
165;DECA
166;Tiger
167;Elettro CF
168;Sherman
169;Solectron
170;MILLER
171;SERECON
172;Smart
173;Ergos
174;Mader
175;Mac Power
176;Güde
177;X-DUR
178;Great Tool
179;Tecniradian
180;FIMER
181;AIRGO
182;POWER ED
183;SUNARC
184;Proweld
185;Berner
186;OLIVER
187;Gar Weld
188;CEMACS
189;Martial
190;Ouest Soudure
191;SUNMIG
192;Rehm
193;Chemitool
